"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2013,121,100,21,0,0,0,0,75,55,26,0,0,0,107,14
"Aberdeen, WA","10140",2013,365,316,49,0,0,0,0,71,54,21,0,0,0,365,0
"Adjuntas, PR","10260",2013,93,91,2,0,0,0,0,54,36,16,0,0,0,93,0
"Adrian, MI","10300",2013,245,191,53,1,0,0,0,105,60,42,0,0,162,83,0
"Akron, OH","10420",2013,365,307,56,2,0,0,0,146,56,31,101,0,163,101,0
"Albany, GA","10500",2013,364,232,127,5,0,0,0,126,64,43,0,0,0,364,0
"Albany, OR","10540",2013,365,291,69,5,0,0,0,111,63,23,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2013,365,295,70,0,0,0,0,97,58,39,0,0,269,96,0
"Albuquerque, NM","10740",2013,365,142,214,9,0,0,0,145,82,54,0,1,222,95,47
"Alexandria, LA","10780",2013,362,232,129,1,0,0,0,105,63,44,0,0,0,362,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2013,365,196,159,10,0,0,0,134,76,49,0,5,157,203,0
"Altoona, PA","11020",2013,365,219,143,3,0,0,0,115,67,46,0,0,130,235,0
"Amarillo, TX","11100",2013,365,272,91,2,0,0,0,122,74,44,0,0,329,36,0
"Americus, GA","11140",2013,245,232,13,0,0,0,0,80,48,36,0,0,245,0,0
"Ames, IA","11180",2013,214,196,18,0,0,0,0,80,49,41,0,0,214,0,0
"Anchorage, AK","11260",2013,365,284,76,4,1,0,0,151,62,29,4,0,0,242,119
"Ann Arbor, MI","11460",2013,364,296,67,1,0,0,0,101,58,37,0,0,319,45,0
"Appleton, WI","11540",2013,365,264,100,1,0,0,0,105,64,41,0,0,155,210,0
"Ardmore, OK","11620",2013,339,211,113,15,0,0,0,150,74,45,0,0,193,146,0
"Arkadelphia, AR","11660",2013,318,298,19,1,0,0,0,112,47,33,0,0,318,0,0
"Asheville, NC","11700",2013,365,290,75,0,0,0,0,97,58,43,0,0,175,190,0
"Ashtabula, OH","11780",2013,213,178,33,2,0,0,0,108,64,39,0,0,213,0,0
"Athens, OH","11900",2013,57,49,8,0,0,0,0,65,53,33,0,0,0,57,0
"Athens, TN","11940",2013,100,81,19,0,0,0,0,65,57,35,0,0,0,100,0
"Athens-Clarke County, GA","12020",2013,365,271,94,0,0,0,0,91,60,40,0,0,94,271,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2013,365,168,184,12,1,0,0,177,74,52,0,6,118,241,0
"Atlantic City-Hammonton, NJ","12100",2013,360,300,57,2,1,0,0,154,58,39,0,0,305,55,0
"Augusta-Richmond County, GA-SC","12260",2013,364,262,101,1,0,0,0,102,62,43,0,0,138,226,0
"Augusta-Waterville, ME","12300",2013,361,349,11,1,0,0,0,108,44,30,0,130,222,0,9
"Austin-Round Rock, TX","12420",2013,365,249,112,4,0,0,0,129,70,44,0,1,215,149,0
"Bakersfield, CA","12540",2013,365,35,194,104,31,1,0,218,148,89,0,0,177,185,3
"Baltimore-Columbia-Towson, MD","12580",2013,365,197,158,10,0,0,0,133,80,49,0,16,182,167,0
"Bangor, ME","12620",2013,363,323,39,1,0,0,0,119,51,32,0,0,238,123,2
"Baraboo, WI","12660",2013,364,295,69,0,0,0,0,90,58,38,0,0,179,184,1
"Barnstable Town, MA","12700",2013,315,291,20,4,0,0,0,129,49,36,0,0,296,19,0
"Baton Rouge, LA","12940",2013,365,208,148,7,2,0,0,166,74,48,0,6,185,174,0
"Bay City, MI","13020",2013,114,94,20,0,0,0,0,67,54,29,0,0,0,114,0
"Beaumont-Port Arthur, TX","13140",2013,365,234,124,7,0,0,0,129,69,45,0,0,184,181,0
"Beaver Dam, WI","13180",2013,365,258,105,1,0,1,0,214,64,43,0,0,219,145,1
"Beckley, WV","13220",2013,120,106,14,0,0,0,0,73,51,30,0,0,0,120,0
"Bellingham, WA","13380",2013,348,317,31,0,0,0,0,75,49,28,0,0,105,243,0
"Bend-Redmond, OR","13460",2013,365,320,45,0,0,0,0,85,54,34,0,0,118,247,0
"Bennington, VT","13540",2013,365,324,40,1,0,0,0,101,51,36,0,0,291,74,0
"Berlin, NH-VT","13620",2013,365,279,84,2,0,0,0,119,64,44,0,0,364,1,0
"Billings, MT","13740",2013,355,349,6,0,0,0,0,77,36,14,0,0,0,355,0
"Birmingham-Hoover, AL","13820",2013,365,189,173,3,0,0,0,129,68,50,0,1,108,255,1
"Bishop, CA","13860",2013,365,231,113,10,7,2,2,425,86,46,0,0,286,26,53
"Bismarck, ND","13900",2013,365,317,48,0,0,0,0,84,53,39,0,8,284,70,3
