,CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,City,State
30,"Bakersfield, CA",12540,2012,366,64,160,92,49,1,0,202,154,84,0,0,218,143,5,Bakersfield, CA
46,"Bishop, CA",13860,2012,366,204,133,15,4,2,8,3812,93,48,0,0,280,10,76,Bishop, CA
88,"Chico, CA",17020,2012,366,170,165,23,8,0,0,186,97,53,0,0,230,136,0,Chico, CA
93,"Clearlake, CA",17340,2012,362,336,23,3,0,0,0,143,47,35,0,0,360,2,0,Clearlake, CA
110,"Crescent City, CA",18860,2012,119,119,0,0,0,0,0,45,26,10,0,0,0,79,40,Crescent City, CA
138,"El Centro, CA",20940,2012,366,173,154,34,4,1,0,274,101,52,2,62,229,57,16,El Centro, CA
150,"Eureka-Arcata-Fortuna, CA",21700,2012,366,316,50,0,0,0,0,72,52,36,0,0,205,161,0,Eureka-Arcata-Fortuna, CA
171,"Fresno, CA",23420,2012,366,77,155,92,41,1,0,212,151,80,0,1,222,143,0,Fresno, CA
198,"Hanford-Corcoran, CA",25260,2012,366,117,183,60,6,0,0,172,114,66,0,0,210,137,19,Hanford-Corcoran, CA
279,"Los Angeles-Long Beach-Anaheim, CA",31080,2012,366,32,202,95,35,2,0,207,151,84,0,19,176,169,2,Los Angeles-Long Beach-Anaheim, CA
286,"Madera, CA",31460,2012,366,102,183,70,11,0,0,200,129,64,0,0,210,149,7,Madera, CA
302,"Merced, CA",32900,2012,366,164,168,33,1,0,0,151,97,53,0,0,236,127,3,Merced, CA
312,"Modesto, CA",33700,2012,366,123,164,67,11,1,0,201,125,63,0,1,202,162,1,Modesto, CA
328,"Napa, CA",34900,2012,366,273,93,0,0,0,0,84,62,38,2,7,198,159,0,Napa, CA
350,"Oxnard-Thousand Oaks-Ventura, CA",37100,2012,366,156,178,31,1,0,0,154,97,54,0,4,247,114,1,Oxnard-Thousand Oaks-Ventura, CA
385,"Red Bluff, CA",39780,2012,366,209,138,19,0,0,0,150,93,47,0,0,282,84,0,Red Bluff, CA
387,"Redding, CA",39820,2012,366,262,98,5,1,0,0,172,77,44,0,0,356,10,0,Redding, CA
391,"Riverside-San Bernardino-Ontario, CA",40140,2012,366,16,168,110,63,9,0,233,172,100,0,4,193,134,35,Riverside-San Bernardino-Ontario, CA
406,"Sacramento--Roseville--Arden-Arcade, CA",40900,2012,366,128,159,66,12,1,0,201,126,63,0,4,252,109,1,Sacramento--Roseville--Arden-Arcade, CA
409,"Salinas, CA",41500,2012,366,332,34,0,0,0,0,84,50,37,1,5,246,91,23,Salinas, CA
413,"San Diego-Carlsbad, CA",41740,2012,366,71,259,35,1,0,0,165,100,64,0,17,147,171,31,San Diego-Carlsbad, CA
414,"San Francisco-Oakland-Hayward, CA",41860,2012,366,221,138,6,1,0,0,161,74,46,0,33,175,158,0,San Francisco-Oakland-Hayward, CA
415,"San Jose-Sunnyvale-Santa Clara, CA",41940,2012,366,217,137,12,0,0,0,133,77,47,0,6,227,132,1,San Jose-Sunnyvale-Santa Clara, CA
417,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2012,366,166,163,35,2,0,0,154,101,53,0,0,245,93,28,San Luis Obispo-Paso Robles-Arroyo Grande, CA
419,"Santa Cruz-Watsonville, CA",42100,2012,365,357,7,1,0,0,0,101,44,34,0,0,293,72,0,Santa Cruz-Watsonville, CA
421,"Santa Maria-Santa Barbara, CA",42200,2012,366,229,134,3,0,0,0,136,65,47,0,0,277,89,0,Santa Maria-Santa Barbara, CA
422,"Santa Rosa, CA",42220,2012,366,306,60,0,0,0,0,80,56,37,0,7,205,154,0,Santa Rosa, CA
444,"Sonora, CA",43760,2012,364,246,105,13,0,0,0,136,87,42,0,0,364,0,0,Sonora, CA
459,"Stockton-Lodi, CA",44700,2012,366,142,182,38,4,0,0,182,101,56,0,3,195,164,4,Stockton-Lodi, CA
475,"Truckee-Grass Valley, CA",46020,2012,366,233,105,26,2,0,0,164,97,42,0,0,353,13,0,Truckee-Grass Valley, CA
482,"Ukiah, CA",46380,2012,357,314,43,0,0,0,0,77,52,33,0,0,203,145,9,Ukiah, CA
486,"Vallejo-Fairfield, CA",46700,2012,366,264,97,5,0,0,0,140,65,41,0,8,231,127,0,Vallejo-Fairfield, CA
493,"Visalia-Porterville, CA",47300,2012,366,91,137,98,40,0,0,195,151,80,0,0,243,122,1,Visalia-Porterville, CA
522,"Yuba City, CA",49700,2012,366,203,146,17,0,0,0,150,84,48,0,10,232,123,1,Yuba City, CA
30,"Bakersfield, CA",12540,2013,365,35,194,104,31,1,0,218,148,89,0,0,177,185,3,Bakersfield, CA
46,"Bishop, CA",13860,2013,365,231,113,10,7,2,2,425,86,46,0,0,286,26,53,Bishop, CA
87,"Chico, CA",17020,2013,365,147,209,8,1,0,0,169,90,54,0,0,221,144,0,Chico, CA
